observation_date,COMPUTSA
2005-01-01,1892
2005-02-01,1908
2005-03-01,1787
2005-04-01,1927
2005-05-01,2103
2005-06-01,1965
2005-07-01,1886
2005-08-01,1952
2005-09-01,1922
2005-10-01,1962
2005-11-01,1907
2005-12-01,1941
2006-01-01,2036
2006-02-01,2048
2006-03-01,2245
2006-04-01,2071
2006-05-01,1897
2006-06-01,2050
2006-07-01,1934
2006-08-01,1877
2006-09-01,2011
2006-10-01,1918
2006-11-01,1893
2006-12-01,1888
2007-01-01,1822
2007-02-01,1640
2007-03-01,1623
2007-04-01,1539
2007-05-01,1536
2007-06-01,1481
2007-07-01,1534
2007-08-01,1512
2007-09-01,1356
2007-10-01,1405
2007-11-01,1390
2007-12-01,1328
2008-01-01,1331
2008-02-01,1274
2008-03-01,1195
2008-04-01,1022
2008-05-01,1142
2008-06-01,1142
2008-07-01,1087
2008-08-01,1017
2008-09-01,1160
2008-10-01,1055
2008-11-01,1076
2008-12-01,1021
2009-01-01,777
2009-02-01,819
2009-03-01,839
2009-04-01,846
2009-05-01,818
2009-06-01,797
2009-07-01,797
2009-08-01,792
2009-09-01,721
2009-10-01,746
2009-11-01,844
2009-12-01,750
2010-01-01,689
2010-02-01,670
2010-03-01,635
2010-04-01,737
2010-05-01,702
2010-06-01,894
2010-07-01,572
2010-08-01,592
2010-09-01,632
2010-10-01,605
2010-11-01,552
2010-12-01,565
2011-01-01,520
2011-02-01,615
2011-03-01,591
2011-04-01,549
2011-05-01,549
2011-06-01,579
2011-07-01,634
2011-08-01,614
2011-09-01,603
2011-10-01,566
2011-11-01,585
2011-12-01,610
2012-01-01,545
2012-02-01,561
2012-03-01,582
2012-04-01,671
2012-05-01,626
2012-06-01,625
2012-07-01,676
2012-08-01,684
2012-09-01,652
2012-10-01,730
2012-11-01,668
2012-12-01,677
2013-01-01,714
2013-02-01,729
2013-03-01,816
2013-04-01,712
2013-05-01,708
2013-06-01,736
2013-07-01,784
2013-08-01,765
2013-09-01,776
2013-10-01,801
2013-11-01,839
2013-12-01,778
2014-01-01,838
2014-02-01,876
2014-03-01,893
2014-04-01,834
2014-05-01,891
2014-06-01,800
2014-07-01,839
2014-08-01,908
2014-09-01,975
2014-10-01,920
2014-11-01,863
2014-12-01,955
2015-01-01,954
2015-02-01,863
2015-03-01,781
2015-04-01,1001
2015-05-01,1012
2015-06-01,962
2015-07-01,988
2015-08-01,974
2015-09-01,1040
2015-10-01,985
2015-11-01,1000
2015-12-01,1023
2016-01-01,1056
2016-02-01,1037
2016-03-01,1003
2016-04-01,945
2016-05-01,1000
2016-06-01,1109
2016-07-01,1072
2016-08-01,1054
2016-09-01,1035
2016-10-01,1070
2016-11-01,1244
2016-12-01,1101
2017-01-01,1081
2017-02-01,1148
2017-03-01,1147
2017-04-01,1069
2017-05-01,1170
2017-06-01,1236
2017-07-01,1173
2017-08-01,1107
2017-09-01,1113
2017-10-01,1196
2017-11-01,1182
2017-12-01,1200
2018-01-01,1208
2018-02-01,1288
2018-03-01,1181
2018-04-01,1224
2018-05-01,1262
2018-06-01,1212
2018-07-01,1150
2018-08-01,1262
2018-09-01,1187
2018-10-01,1122
2018-11-01,1131
2018-12-01,1053
2019-01-01,1247
2019-02-01,1304
2019-03-01,1313
2019-04-01,1308
2019-05-01,1221
2019-06-01,1178
2019-07-01,1215
2019-08-01,1313
2019-09-01,1154
2019-10-01,1289
2019-11-01,1266
2019-12-01,1308
2020-01-01,1292
2020-02-01,1241
2020-03-01,1248
2020-04-01,1188
2020-05-01,1175
2020-06-01,1237
2020-07-01,1308
2020-08-01,1269
2020-09-01,1439
2020-10-01,1386
2020-11-01,1262
2020-12-01,1369
2021-01-01,1362
2021-02-01,1296
2021-03-01,1454
2021-04-01,1410
2021-05-01,1330
2021-06-01,1291
2021-07-01,1360
2021-08-01,1340
2021-09-01,1226
2021-10-01,1282
2021-11-01,1403
2021-12-01,1326
2022-01-01,1275
2022-02-01,1343
2022-03-01,1352
2022-04-01,1344
2022-05-01,1425
2022-06-01,1381
2022-07-01,1409
2022-08-01,1375
2022-09-01,1434
2022-10-01,1379
2022-11-01,1559
2022-12-01,1386
2023-01-01,1389
2023-02-01,1540
2023-03-01,1516
2023-04-01,1416
2023-05-01,1499
2023-06-01,1480
2023-07-01,1343
2023-08-01,1373
2023-09-01,1466
2023-10-01,1382
2023-11-01,1466
2023-12-01,1557
2024-01-01,1504
2024-02-01,1698
2024-03-01,1491
2024-04-01,1659
2024-05-01,1557
2024-06-01,1725
2024-07-01,1640
2024-08-01,1763
2024-09-01,1673
2024-10-01,1637
2024-11-01,1622
2024-12-01,1529
2025-01-01,1659
